VALUE, SEQ, DICHO
455, 0.01655, 0.00000
456, 0.00795, 0.00000
457, 0.02116, 0.00000
458, 0.01140, 0.00000
459, 0.02051, 0.00000
460, 0.00340, 0.00000
461, 0.01450, 0.00000
462, 0.00475, 0.00000
463, 0.01235, 0.00000
464, 0.00060, 0.00000
465, 0.01860, 0.00000
466, 0.02386, 0.00000
467, 0.00705, 0.00000
468, 0.00485, 0.00000
469, 0.00130, 0.00000
470, 0.02351, 0.00000
471, 0.00975, 0.00010
472, 0.02431, 0.00000
473, 0.00355, 0.00000
474, 0.01907, 0.00000
475, 0.02260, 0.00010
476, 0.02450, 0.00000
477, 0.01065, 0.00000
478, 0.02326, 0.00000
479, 0.02317, 0.00000
480, 0.02362, 0.00000
481, 0.02262, 0.00010
482, 0.01206, 0.00000
483, 0.01186, 0.00000
484, 0.02321, 0.00000
485, 0.00526, 0.00000
486, 0.01486, 0.00000
487, 0.02086, 0.00000
488, 0.01771, 0.00000
489, 0.02184, 0.00000
490, 0.02427, 0.00000
491, 0.00895, 0.00000
492, 0.02441, 0.00000
493, 0.02468, 0.00000
494, 0.02491, 0.00000
495, 0.00386, 0.00000
496, 0.00840, 0.00000
497, 0.00705, 0.00000
498, 0.00050, 0.00000
499, 0.00684, 0.00000
500, 0.00180, 0.00000
501, 0.01621, 0.00000
502, 0.01045, 0.00000
503, 0.02144, 0.00000
504, 0.00420, 0.00000
505, 0.02681, 0.00000
506, 0.00965, 0.00000
507, 0.02490, 0.00000
508, 0.01501, 0.00000
509, 0.02427, 0.00000
510, 0.00226, 0.00000
511, 0.00710, 0.00000
512, 0.02436, 0.00000
513, 0.02387, 0.00000
514, 0.02555, 0.00000
515, 0.02380, 0.00000
516, 0.01736, 0.00000
517, 0.02462, 0.00000
518, 0.00815, 0.00000
519, 0.00475, 0.00000
520, 0.02371, 0.00000
521, 0.02441, 0.00000
522, 0.02381, 0.00000
523, 0.01265, 0.00000
524, 0.02170, 0.00000
525, 0.00230, 0.00000
526, 0.02286, 0.00010
527, 0.02410, 0.00010
528, 0.02376, 0.00000
529, 0.01105, 0.00000
530, 0.01185, 0.00000
531, 0.02361, 0.00000
532, 0.03372, 0.00000
533, 0.00715, 0.00000
534, 0.02256, 0.00000
535, 0.01350, 0.00000
536, 0.01305, 0.00000
537, 0.01152, 0.00000
538, 0.00335, 0.00000
539, 0.01820, 0.00010
540, 0.02380, 0.00000
541, 0.00010, 0.00000
542, 0.00500, 0.00000
543, 0.01952, 0.00000
544, 0.00725, 0.00000
545, 0.02551, 0.00000
546, 0.01806, 0.00000
547, 0.01502, 0.00000
548, 0.02473, 0.00000
549, 0.01981, 0.00000
550, 0.00345, 0.00000
551, 0.02156, 0.00000
552, 0.02331, 0.00000
553, 0.02377, 0.00000
554, 0.02067, 0.00000
555, 0.01605, 0.00000
556, 0.00472, 0.00000
557, 0.02521, 0.00010
558, 0.00865, 0.00000
559, 0.02321, 0.00000
560, 0.01512, 0.00000
561, 0.01780, 0.00010
562, 0.02238, 0.00000
563, 0.00705, 0.00000
564, 0.00570, 0.00000
565, 0.02495, 0.00000
566, 0.01930, 0.00000
567, 0.00100, 0.00000
568, 0.01821, 0.00000
569, 0.02521, 0.00000
570, 0.00744, 0.00000
571, 0.02581, 0.00010
572, 0.01105, 0.00000
573, 0.02511, 0.00000
574, 0.01611, 0.00000
575, 0.00310, 0.00000
576, 0.02332, 0.00000
577, 0.01916, 0.00000
578, 0.02307, 0.00000
579, 0.01885, 0.00000
580, 0.01151, 0.00000
581, 0.00335, 0.00010
582, 0.01055, 0.00000
583, 0.01821, 0.00010
584, 0.00390, 0.00000
585, 0.00265, 0.00000
586, 0.00690, 0.00000
587, 0.00296, 0.00000
588, 0.01376, 0.00000
589, 0.02350, 0.00000
590, 0.02406, 0.00000
591, 0.02296, 0.00010
592, 0.00865, 0.00000
593, 0.01736, 0.00000
594, 0.02501, 0.00000
595, 0.01335, 0.00000
596, 0.00615, 0.00000
597, 0.02200, 0.00000
598, 0.02220, 0.00010
599, 0.02475, 0.00000
600, 0.01471, 0.00000
601, 0.00305, 0.00000
602, 0.02190, 0.00000
603, 0.02440, 0.00000
604, 0.02381, 0.00000
605, 0.01625, 0.00010
606, 0.00515, 0.00000
607, 0.02399, 0.00000
608, 0.02518, 0.00000
609, 0.02432, 0.00000
610, 0.02355, 0.00000
611, 0.02451, 0.00000
612, 0.01356, 0.00000
613, 0.02371, 0.00000
614, 0.00470, 0.00000
615, 0.00160, 0.00000
616, 0.01571, 0.00000
617, 0.02449, 0.00000
618, 0.02382, 0.00000
619, 0.02331, 0.00000
620, 0.00596, 0.00000
621, 0.01276, 0.00000
622, 0.00020, 0.00010
